"filename", "language", "TypeScript", "TypeScript JSX", "JavaScript", "comment", "blank", "total"
"d:\Main Proyects\cuttinboard-library\src\account\CuttinboardUser.ts", "TypeScript", 47, 0, 0, 47, 17, 111
"d:\Main Proyects\cuttinboard-library\src\account\OrganizationKey.ts", "TypeScript", 7, 0, 0, 3, 2, 12
"d:\Main Proyects\cuttinboard-library\src\account\index.ts", "TypeScript", 6, 0, 0, 2, 1, 9
"d:\Main Proyects\cuttinboard-library\src\account\types.ts", "TypeScript", 36, 0, 0, 64, 7, 107
"d:\Main Proyects\cuttinboard-library\src\account\useDeleteAccount.tsx", "TypeScript JSX", 0, 44, 0, 21, 5, 70
"d:\Main Proyects\cuttinboard-library\src\account\useRegister.tsx", "TypeScript JSX", 0, 46, 0, 14, 4, 64
"d:\Main Proyects\cuttinboard-library\src\account\useUpdateAccount.tsx", "TypeScript JSX", 0, 61, 0, 19, 10, 90
"d:\Main Proyects\cuttinboard-library\src\billing\CustomerData.ts", "TypeScript", 6, 0, 0, 0, 1, 7
"d:\Main Proyects\cuttinboard-library\src\billing\Price.ts", "TypeScript", 11, 0, 0, 21, 1, 33
"d:\Main Proyects\cuttinboard-library\src\billing\Product.ts", "TypeScript", 10, 0, 0, 21, 2, 33
"d:\Main Proyects\cuttinboard-library\src\billing\Recurring.ts", "TypeScript", 6, 0, 0, 0, 1, 7
"d:\Main Proyects\cuttinboard-library\src\billing\Subscription.ts", "TypeScript", 31, 0, 0, 44, 2, 77
"d:\Main Proyects\cuttinboard-library\src\billing\SubscriptionItem.ts", "TypeScript", 12, 0, 0, 0, 2, 14
"d:\Main Proyects\cuttinboard-library\src\billing\TaxRate.ts", "TypeScript", 17, 0, 0, 3, 1, 21
"d:\Main Proyects\cuttinboard-library\src\billing\index.ts", "TypeScript", 7, 0, 0, 2, 1, 10
"d:\Main Proyects\cuttinboard-library\src\boards\Board.ts", "TypeScript", 157, 0, 0, 35, 17, 209
"d:\Main Proyects\cuttinboard-library\src\boards\BoardProvider.tsx", "TypeScript JSX", 0, 242, 0, 17, 16, 275
"d:\Main Proyects\cuttinboard-library\src\boards\createBoardSlice.ts", "TypeScript", 377, 0, 0, 23, 25, 425
"d:\Main Proyects\cuttinboard-library\src\boards\index.ts", "TypeScript", 5, 0, 0, 2, 1, 8
"d:\Main Proyects\cuttinboard-library\src\boards\useBoard.tsx", "TypeScript JSX", 0, 11, 0, 4, 2, 17
"d:\Main Proyects\cuttinboard-library\src\boards\useMultipleQueryListener.tsx", "TypeScript JSX", 0, 65, 0, 0, 8, 73
"d:\Main Proyects\cuttinboard-library\src\chats\IMessage.ts", "TypeScript", 14, 0, 0, 3, 2, 19
